id,title,year,source,query,run_date,stage,decision,reason,type,era,evidence_kind,screener1,screener2,category
arXiv:1610.09900v2,Inference Compilation and Universal Probabilistic Programming,2016,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,"both screeners: Evaluates neural inference compilation for CAPTCHA solving, an automated CAPTCHA attack.",CAPTCHA,,,include,include,A
arXiv:2509.01619v1,Throttling Web Agents Using Reasoning Gates,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,"both screeners: Proposes and evaluates reasoning-gate challenges throttling web agents, an anti-automation mechanism",CAPTCHA,,,include,include,M
arXiv:2010.06404v1,FPSelect: Low-Cost Browser Fingerprints for Mitigating Dictionary Attacks against Web Authentication Mechanisms,2020,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates browser fingerprinting mechanism for web authentication against automated attacks,II,,,include,include,M
arXiv:2506.05982v6,MCA-Bench: A Multimodal Benchmark for Evaluating CAPTCHA Robustness Against VLM-based Attacks,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include (already cited as [64]),both screeners: Benchmark evaluating VLM-based attacks against diverse CAPTCHA mechanisms,CAPTCHA,VLM,benchmark,include,include,A
arXiv:2505.24878v1,Open CaptchaWorld: A Comprehensive Web-based Platform for Testing and Benchmarking Multimodal LLM Agents,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Benchmark evaluating multimodal LLM agents' ability to solve CAPTCHAs,CAPTCHA,,,include,include,A
arXiv:1911.07649v4,ZKSENSE: A Friction-less Privacy-Preserving Human Attestation Mechanism for Mobile Devices,2019,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates sensor-based humanness attestation mechanism against automation on mobile devices,III,,,include,include,M
arXiv:2602.19514v1,Security Risks of AI Agents Hiring Humans: An Empirical Marketplace Study,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,adjudicated: Measures agent-to-human labor market for authentication circumvention; CAPTCHA-farm analogue,ECON,,,exclude,include,E
arXiv:2603.28546v2,Shy Guys: A Light-Weight Approach to Detecting Robots on Websites,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Server-log-only bot detection, no client-side mechanism or attack",,,,exclude,exclude,-
arXiv:2603.09329v1,Measuring onion website discovery and Tor users' interests with honeypots,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Tor honeypot user-interest study; CAPTCHA solves are incidental, not anti-automation evaluation",,,,exclude,exclude,-
arXiv:2008.11603v1,An End-to-End Attack on Text-based CAPTCHAs Based on Cycle-Consistent Generative Adversarial Network,2020,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates Cycle-GAN-based automated attack cracking text CAPTCHAs on ten websites,CAPTCHA,,,include,include,A
arXiv:2006.04865v1,Resource Burning for Permissionless Systems,2020,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,both screeners: Theoretical survey of resource burning; no evaluation of client-side anti-automation mechanisms,,,,exclude,exclude,-
arXiv:2606.30119v1,"On the Internet, Nobody Knows You're an LLM Bot: Unmasking Web Agents with Multi-Layer Fingerprinting",2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates LLM web agents bypassing anti-bot mechanisms and fingerprinting detection,II,,,include,include,A
arXiv:2203.02735v1,aaeCAPTCHA: The Design and Implementation of Audio Adversarial CAPTCHA,2022,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Designs and evaluates adversarial audio CAPTCHA against automated ASR attacks,CAPTCHA,,,include,include,M
arXiv:2312.10273v1,User Authentication and Identity Inconsistency Detection via Mouse-trajectory Similarity Measurement,2023,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates mouse-trajectory behavioral biometrics to detect CAPTCHA farm automation,III,,,include,include,M
arXiv:2411.16285v1,A Graph Neural Architecture Search Approach for Identifying Bots in Social Media,2024,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Social media bot detection from account graphs, not client-side anti-automation.",,,,exclude,exclude,-
arXiv:2508.14976v2,Aura-CAPTCHA: A Reinforcement Learning and GAN-Enhanced Multi-Modal CAPTCHA System,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates a multi-modal CAPTCHA mechanism against ML and VLM attacks,CAPTCHA,,,include,include,M
arXiv:2607.23389v1,"Rendering on Real Silicon: GPU Render-Timing as a Passive, AI-Resistant CAPTCHA Signal",2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates GPU render-timing as client-side bot-detection/CAPTCHA signal against automation,CAPTCHA,,,include,include,M
arXiv:2401.14607v2,Assembling a Multi-Platform Ensemble Social Bot Detector with Applications to US 2020 Elections,2024,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Social-media bot account detection, not client-side anti-automation",,,,exclude,exclude,-
arXiv:2607.18659v1,Broken Gates: Re-evaluating Web Bot Defenses in the Age of LLM Agents,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates CAPTCHA solvers and LLM agents against bot defenses,CAPTCHA,,,include,include,A
arXiv:1103.6219v2,"The weak password problem: chaos, criticality, and encrypted p-CAPTCHAs",2011,arXiv,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"adjudicated: CAPTCHA used for password strengthening, not anti-automation; no evaluation",,,,exclude,include,-
arXiv:2512.16223v1,NGCaptcha: A CAPTCHA Bridging the Past and the Future,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Proposes and evaluates client-side PoW plus AI-resistant CAPTCHA mechanism,CAPTCHA,,,include,include,M
arXiv:2304.13253v1,Analyzing In-browser Cryptojacking,2023,arXiv,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Cryptojacking malware analysis, not anti-automation or bot-detection research",,,,exclude,exclude,-
arXiv:2604.10678v1,FedRio: Personalized Federated Social Bot Detection via Cooperative Reinforced Contrastive Adversarial Distillation,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,both screeners: Social bot account detection from graphs; not client-side anti-automation,,,,exclude,exclude,-
arXiv:2603.18071v4,Engineering Lessons from Authorized YouTube-to-Blockchain Content Replication at Scale,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Experience report evaluating large-scale evasion of YouTube's anti-automation defenses,II,,,include,include,A
arXiv:1710.11475v2,A Neural-Symbolic Approach to Design of CAPTCHA,2017,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Proposes and evaluates a new image-captioning CAPTCHA design mechanism,CAPTCHA,,,include,include,M
arXiv:1908.03748v1,Show Me Your Account: Detecting MMORPG Game Bot Leveraging Financial Analysis with LSTM,2019,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: MMORPG game bot detection via server-side financial analysis, not web client-side anti-automation",,,,exclude,exclude,-
arXiv:2311.10911v2,Dazed & Confused: A Large-Scale Real-World User Study of reCAPTCHAv2,2023,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,"both screeners: Large-scale real-world evaluation of reCAPTCHAv2 usability, cost, and bot-resistance security",CAPTCHA,,,include,include,M
arXiv:2603.05915v1,ThermoCAPTCHA: Privacy-Preserving Human Verification with Farm-Resistant Traceable Tokens,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Proposes and evaluates thermal-imaging CAPTCHA with security evaluation and user study,CAPTCHA,,,include,include,M
arXiv:2302.06900v2,Over-Sampling Strategy in Feature Space for Graphs based Class-imbalanced Bot Detection,2023,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Social-network bot account detection from graphs, not client-side anti-automation",,,,exclude,exclude,-
arXiv:2502.13740v1,Benchmarking of Different YOLO Models for CAPTCHAs Detection and Classification,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,"both screeners: Evaluates YOLO models for detecting/classifying web CAPTCHAs, an automated attack",CAPTCHA,,,include,include,A
arXiv:2511.07841v1,CAHICHA: Computer Automated Hardware Interaction test to tell Computer and Humans Apart,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Proposes and evaluates hardware-attested human verification mechanism against bots,V,,,include,include,M
arXiv:2606.19116v1,Towards an Agent-First Web: Redesigning the Web for AI Agents,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,both screeners: Pure position proposal redesigning web for agents; no mechanism evaluation or attack,,,,exclude,exclude,-
arXiv:2104.06182v1,Understanding Transformers for Bot Detection in Twitter,2021,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,"both screeners: Social media bot detection from tweet content, not client-side web anti-automation",,,,exclude,exclude,-
arXiv:1703.00868v1,Using Synthetic Data to Train Neural Networks is Model-Based Reasoning,2017,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates CAPTCHA-breaking attack on real-world Facebook and Wikipedia CAPTCHAs,CAPTCHA,,,include,include,A
arXiv:2206.06757v2,RoSGAS: Adaptive Social Bot Detection with Reinforced Self-Supervised GNN Architecture Search,2022,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,exclude,both screeners: Social-media bot account detection from graphs; not client-side anti-automation,,,,exclude,exclude,-
